tender_id,department,category,company_id,company_name,bid_amount,estimated_value,winner,director_name,date
TND-1000,Defense,Medical Equipment,COMP004,Delta Engineering Co,18254832.21,19039735.88,1,Vikram Singh,2024-01-26
TND-1000,Defense,Medical Equipment,COMP003,CrestLine Solutions,18687159.09,19039735.88,0,Neha Gupta,2024-01-26
TND-1000,Defense,Medical Equipment,COMP012,Lumencraft Industries,18350049.26,19039735.88,0,Lakshmi Rao,2024-01-26
TND-1000,Defense,Medical Equipment,COMP002,BlueHorizon Services,18350030.89,19039735.88,0,Amit Patel,2024-01-26
TND-1001,Public Works,Consulting,COMP009,InfraPrime Ltd,3203452.87,3375138.8,1,Pooja Bhat,2024-08-26
TND-1001,Public Works,Consulting,COMP004,Delta Engineering Co,3313143.27,3375138.8,0,Vikram Singh,2024-08-26
TND-1001,Public Works,Consulting,COMP012,Lumencraft Industries,3220328.56,3375138.8,0,Amit Patel,2024-08-26
TND-1002,IT & Digital,Supplies,COMP012,Lumencraft Industries,46273965.68,48510537.68,1,Lakshmi Rao,2024-01-07
TND-1002,IT & Digital,Supplies,COMP007,GlobalEdge Infra,46516518.37,48510537.68,0,Deepa Verma,2024-01-07
TND-1002,IT & Digital,Supplies,COMP006,FusionTech Systems,46519583.35,48510537.68,0,Ravi Nair,2024-01-07
TND-1002,IT & Digital,Supplies,COMP005,Evergreen Constructions,46754059.49,48510537.68,0,Suresh Iyer,2024-01-07
TND-1003,Public Works,Software,COMP010,JetStream Solutions,24611135.46,26475443.37,0,Rajesh Kumar,2024-04-09
TND-1003,Public Works,Software,COMP005,Evergreen Constructions,23493480.88,26475443.37,0,Kavita Joshi,2024-04-09
TND-1003,Public Works,Software,COMP013,Meridian Works,26040077.7,26475443.37,0,Kavita Joshi,2024-04-09
TND-1003,Public Works,Software,COMP001,Apex Infrastructure Ltd,22288303.24,26475443.37,1,Priya Shah,2024-04-09
TND-1003,Public Works,Software,COMP008,HighPoint Services,23500752.43,26475443.37,0,Lakshmi Rao,2024-04-09
TND-1004,IT & Digital,Consulting,COMP013,Meridian Works,17457576.09,18634911.24,0,Kavita Joshi,2024-03-12
TND-1004,IT & Digital,Consulting,COMP005,Evergreen Constructions,19297434.3,18634911.24,0,Kavita Joshi,2024-03-12
TND-1004,IT & Digital,Consulting,COMP002,BlueHorizon Services,16024199.95,18634911.24,1,Suman Reddy,2024-03-12
TND-1004,IT & Digital,Consulting,COMP004,Delta Engineering Co,17782742.93,18634911.24,0,Anand Mehta,2024-03-12
TND-1005,Defense,Infrastructure,COMP011,KingsBridge Corp,24275225.32,29824521.16,1,Suman Reddy,2024-06-15
TND-1005,Defense,Infrastructure,COMP005,Evergreen Constructions,29295537.22,29824521.16,0,Suresh Iyer,2024-06-15
TND-1005,Defense,Infrastructure,COMP012,Lumencraft Industries,25385357.03,29824521.16,0,Lakshmi Rao,2024-06-15
TND-1005,Defense,Infrastructure,COMP015,OmniGroup Services,24441656.71,29824521.16,0,Arun Sharma,2024-06-15
TND-1006,Transport,Software,COMP002,BlueHorizon Services,38926826.05,47469834.09,1,Suman Reddy,2024-10-03
TND-1006,Transport,Software,COMP009,InfraPrime Ltd,48902630.83,47469834.09,0,Pooja Bhat,2024-10-03
TND-1006,Transport,Software,COMP004,Delta Engineering Co,42684854.88,47469834.09,0,Vikram Singh,2024-10-03
TND-1006,Transport,Software,COMP011,KingsBridge Corp,40130748.51,47469834.09,0,Suman Reddy,2024-10-03
TND-1006,Transport,Software,COMP006,FusionTech Systems,47370175.3,47469834.09,0,Ravi Nair,2024-10-03
TND-1006,Transport,Software,COMP001,Apex Infrastructure Ltd,44357695.08,47469834.09,0,Rajesh Kumar,2024-10-03
TND-1006,Transport,Software,COMP013,Meridian Works,40431478.99,47469834.09,0,Ravi Nair,2024-10-03
TND-1006,Transport,Software,COMP010,JetStream Solutions,45036815.05,47469834.09,0,Vikram Singh,2024-10-03
TND-1007,Defense,Maintenance,COMP012,Lumencraft Industries,2362545.73,2202231.8,0,Amit Patel,2024-05-26
TND-1007,Defense,Maintenance,COMP009,InfraPrime Ltd,1932753.49,2202231.8,1,Pooja Bhat,2024-05-26
TND-1007,Defense,Maintenance,COMP014,NovaTech Engineering,2199493.73,2202231.8,0,Neha Gupta,2024-05-26
TND-1007,Defense,Maintenance,COMP005,Evergreen Constructions,1967723.45,2202231.8,0,Suresh Iyer,2024-05-26
TND-1008,Health & Sanitation,Training,COMP014,NovaTech Engineering,25298949.2,26243367.05,0,Pooja Bhat,2025-05-20
TND-1008,Health & Sanitation,Training,COMP002,BlueHorizon Services,22450054.64,26243367.05,1,Suman Reddy,2025-05-20
TND-1008,Health & Sanitation,Training,COMP003,CrestLine Solutions,28628243.22,26243367.05,0,Priya Shah,2025-05-20
TND-1009,Transport,Software,COMP005,Evergreen Constructions,41367179.5,38869074.76,0,Suresh Iyer,2025-09-02
TND-1009,Transport,Software,COMP009,InfraPrime Ltd,40915730.21,38869074.76,0,Pooja Bhat,2025-09-02
TND-1009,Transport,Software,COMP001,Apex Infrastructure Ltd,37914994.24,38869074.76,0,Priya Shah,2025-09-02
TND-1009,Transport,Software,COMP011,KingsBridge Corp,41189064.93,38869074.76,0,Suman Reddy,2025-09-02
TND-1009,Transport,Software,COMP002,BlueHorizon Services,31359815.26,38869074.76,1,Suman Reddy,2025-09-02
TND-1009,Transport,Software,COMP014,NovaTech Engineering,33853236.16,38869074.76,0,Pooja Bhat,2025-09-02
TND-1009,Transport,Software,COMP015,OmniGroup Services,32329706.45,38869074.76,0,Rajesh Kumar,2025-09-02
TND-1010,IT & Digital,IT Services,COMP001,Apex Infrastructure Ltd,13796822.34,16603851.37,1,Rajesh Kumar,2025-06-03
TND-1010,IT & Digital,IT Services,COMP014,NovaTech Engineering,14786572.26,16603851.37,0,Neha Gupta,2025-06-03
TND-1010,IT & Digital,IT Services,COMP011,KingsBridge Corp,17192819.07,16603851.37,0,Deepa Verma,2025-06-03
TND-1010,IT & Digital,IT Services,COMP009,InfraPrime Ltd,15155262.72,16603851.37,0,Arun Sharma,2025-06-03
TND-1010,IT & Digital,IT Services,COMP010,JetStream Solutions,14827952.78,16603851.37,0,Rajesh Kumar,2025-06-03
TND-1010,IT & Digital,IT Services,COMP004,Delta Engineering Co,15957977.85,16603851.37,0,Anand Mehta,2025-06-03
TND-1010,IT & Digital,IT Services,COMP003,CrestLine Solutions,14223528.19,16603851.37,0,Neha Gupta,2025-06-03
TND-1010,IT & Digital,IT Services,COMP006,FusionTech Systems,17078243.58,16603851.37,0,Anand Mehta,2025-06-03
TND-1011,Public Works,Consulting,COMP001,Apex Infrastructure Ltd,3542929.62,4190256.86,1,Rajesh Kumar,2025-08-03
TND-1011,Public Works,Consulting,COMP008,HighPoint Services,4277345.65,4190256.86,0,Lakshmi Rao,2025-08-03
TND-1011,Public Works,Consulting,COMP002,BlueHorizon Services,3652504.76,4190256.86,0,Amit Patel,2025-08-03
TND-1012,Education,Training,COMP015,OmniGroup Services,807865.7,773344.8,0,Arun Sharma,2025-09-13
TND-1012,Education,Training,COMP009,InfraPrime Ltd,782669.18,773344.8,1,Pooja Bhat,2025-09-13
TND-1012,Education,Training,COMP013,Meridian Works,787808.01,773344.8,0,Ravi Nair,2025-09-13
TND-1012,Education,Training,COMP012,Lumencraft Industries,797613.21,773344.8,0,Amit Patel,2025-09-13
TND-1013,Transport,Training,COMP002,BlueHorizon Services,3780093.75,4165210.26,0,Amit Patel,2025-04-07
TND-1013,Transport,Training,COMP006,FusionTech Systems,3476953.91,4165210.26,1,Anand Mehta,2025-04-07
TND-1013,Transport,Training,COMP001,Apex Infrastructure Ltd,4410670.38,4165210.26,0,Rajesh Kumar,2025-04-07
TND-1013,Transport,Training,COMP010,JetStream Solutions,4111018.53,4165210.26,0,Rajesh Kumar,2025-04-07
TND-1014,Defense,Construction,COMP014,NovaTech Engineering,13825410.83,16879452.23,1,Pooja Bhat,2024-08-22
TND-1014,Defense,Construction,COMP006,FusionTech Systems,15078325.16,16879452.23,0,Ravi Nair,2024-08-22
TND-1014,Defense,Construction,COMP002,BlueHorizon Services,15150236.69,16879452.23,0,Suman Reddy,2024-08-22
TND-1015,Health & Sanitation,Training,COMP010,JetStream Solutions,34479417.39,36615505.83,1,Rajesh Kumar,2024-05-15
TND-1015,Health & Sanitation,Training,COMP008,HighPoint Services,35178950.3,36615505.83,0,Lakshmi Rao,2024-05-15
TND-1015,Health & Sanitation,Training,COMP004,Delta Engineering Co,34662494.92,36615505.83,0,Anand Mehta,2024-05-15
TND-1015,Health & Sanitation,Training,COMP014,NovaTech Engineering,35531967.52,36615505.83,0,Neha Gupta,2024-05-15
TND-1015,Health & Sanitation,Training,COMP007,GlobalEdge Infra,35601595.95,36615505.83,0,Mohan Das,2024-05-15
TND-1015,Health & Sanitation,Training,COMP013,Meridian Works,35309392.71,36615505.83,0,Ravi Nair,2024-05-15
TND-1015,Health & Sanitation,Training,COMP002,BlueHorizon Services,35616508.9,36615505.83,0,Amit Patel,2024-05-15
TND-1016,Defense,Medical Equipment,COMP013,Meridian Works,23865844.6,24942882.02,0,Kavita Joshi,2024-03-03
TND-1016,Defense,Medical Equipment,COMP014,NovaTech Engineering,23153537.17,24942882.02,0,Neha Gupta,2024-03-03
TND-1016,Defense,Medical Equipment,COMP002,BlueHorizon Services,20144513.5,24942882.02,1,Amit Patel,2024-03-03
TND-1016,Defense,Medical Equipment,COMP004,Delta Engineering Co,20761642.56,24942882.02,0,Anand Mehta,2024-03-03
TND-1016,Defense,Medical Equipment,COMP012,Lumencraft Industries,20189485.96,24942882.02,0,Lakshmi Rao,2024-03-03
TND-1017,Education,Maintenance,COMP001,Apex Infrastructure Ltd,27991803.71,32002315.36,1,Rajesh Kumar,2024-09-12
TND-1017,Education,Maintenance,COMP013,Meridian Works,30473512.9,32002315.36,0,Kavita Joshi,2024-09-12
TND-1017,Education,Maintenance,COMP009,InfraPrime Ltd,33793398.01,32002315.36,0,Arun Sharma,2024-09-12
TND-1018,Energy,Consulting,COMP004,Delta Engineering Co,11852763.02,12839965.34,0,Vikram Singh,2024-06-19
TND-1018,Energy,Consulting,COMP014,NovaTech Engineering,13182347.4,12839965.34,0,Neha Gupta,2024-06-19
TND-1018,Energy,Consulting,COMP007,GlobalEdge Infra,11153300.43,12839965.34,0,Mohan Das,2024-06-19
TND-1018,Energy,Consulting,COMP001,Apex Infrastructure Ltd,10568498.08,12839965.34,1,Priya Shah,2024-06-19
TND-1018,Energy,Consulting,COMP003,CrestLine Solutions,11388091.86,12839965.34,0,Neha Gupta,2024-06-19
TND-1018,Energy,Consulting,COMP013,Meridian Works,10892994.99,12839965.34,0,Ravi Nair,2024-06-19
TND-1019,Defense,Training,COMP004,Delta Engineering Co,44327489.76,46520033.79,1,Vikram Singh,2025-11-08
TND-1019,Defense,Training,COMP005,Evergreen Constructions,45834535.16,46520033.79,0,Kavita Joshi,2025-11-08
TND-1019,Defense,Training,COMP015,OmniGroup Services,45708394.2,46520033.79,0,Arun Sharma,2025-11-08
TND-1019,Defense,Training,COMP001,Apex Infrastructure Ltd,44560089.93,46520033.79,0,Rajesh Kumar,2025-11-08
TND-1020,IT & Digital,Maintenance,COMP003,CrestLine Solutions,42904634.95,44681670.43,0,Neha Gupta,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP001,Apex Infrastructure Ltd,36779944.69,44681670.43,1,Rajesh Kumar,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP009,InfraPrime Ltd,47049072.35,44681670.43,0,Arun Sharma,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP002,BlueHorizon Services,40333290.63,44681670.43,0,Amit Patel,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP015,OmniGroup Services,37917468.75,44681670.43,0,Arun Sharma,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP012,Lumencraft Industries,39286945.94,44681670.43,0,Amit Patel,2025-05-29
TND-1020,IT & Digital,Maintenance,COMP010,JetStream Solutions,41600781.01,44681670.43,0,Vikram Singh,2025-05-29
TND-1021,Education,Consulting,COMP005,Evergreen Constructions,38873057.5,40991730.91,1,Kavita Joshi,2025-11-16
TND-1021,Education,Consulting,COMP007,GlobalEdge Infra,39904073.59,40991730.91,0,Mohan Das,2025-11-16
TND-1021,Education,Consulting,COMP003,CrestLine Solutions,39751032.93,40991730.91,0,Neha Gupta,2025-11-16
TND-1021,Education,Consulting,COMP011,KingsBridge Corp,39430800.29,40991730.91,0,Suman Reddy,2025-11-16
TND-1022,Public Works,Maintenance,COMP002,BlueHorizon Services,5641467.84,6433335.68,1,Amit Patel,2025-09-28
TND-1022,Public Works,Maintenance,COMP009,InfraPrime Ltd,6852509.46,6433335.68,0,Pooja Bhat,2025-09-28
TND-1022,Public Works,Maintenance,COMP004,Delta Engineering Co,5815946.23,6433335.68,0,Vikram Singh,2025-09-28
TND-1023,Health & Sanitation,Infrastructure,COMP012,Lumencraft Industries,26465648.16,26180135.78,0,Amit Patel,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP005,Evergreen Constructions,23800070.33,26180135.78,0,Suresh Iyer,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP010,JetStream Solutions,28576524.69,26180135.78,0,Rajesh Kumar,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP011,KingsBridge Corp,28503208.88,26180135.78,0,Deepa Verma,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP009,InfraPrime Ltd,22921617.03,26180135.78,1,Arun Sharma,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP001,Apex Infrastructure Ltd,24849518.64,26180135.78,0,Rajesh Kumar,2024-10-18
TND-1023,Health & Sanitation,Infrastructure,COMP015,OmniGroup Services,23307219.13,26180135.78,0,Arun Sharma,2024-10-18
TND-1024,Education,Supplies,COMP004,Delta Engineering Co,11841244.03,14599604.47,1,Anand Mehta,2025-09-11
TND-1024,Education,Supplies,COMP011,KingsBridge Corp,14349503.03,14599604.47,0,Deepa Verma,2025-09-11
TND-1024,Education,Supplies,COMP014,NovaTech Engineering,13881358.05,14599604.47,0,Pooja Bhat,2025-09-11
TND-1024,Education,Supplies,COMP005,Evergreen Constructions,11905154.4,14599604.47,0,Suresh Iyer,2025-09-11
TND-1024,Education,Supplies,COMP009,InfraPrime Ltd,12900122.03,14599604.47,0,Pooja Bhat,2025-09-11
TND-1025,Energy,Supplies,COMP011,KingsBridge Corp,39634413.88,45459161.36,0,Deepa Verma,2024-02-15
TND-1025,Energy,Supplies,COMP005,Evergreen Constructions,38343368.9,45459161.36,1,Kavita Joshi,2024-02-15
TND-1025,Energy,Supplies,COMP003,CrestLine Solutions,43042362.69,45459161.36,0,Priya Shah,2024-02-15
TND-1025,Energy,Supplies,COMP012,Lumencraft Industries,49809382.0,45459161.36,0,Lakshmi Rao,2024-02-15
TND-1026,Public Works,IT Services,COMP010,JetStream Solutions,12502214.28,12481735.94,0,Rajesh Kumar,2025-07-12
TND-1026,Public Works,IT Services,COMP009,InfraPrime Ltd,12837289.23,12481735.94,0,Pooja Bhat,2025-07-12
TND-1026,Public Works,IT Services,COMP003,CrestLine Solutions,10875227.47,12481735.94,1,Neha Gupta,2025-07-12
TND-1026,Public Works,IT Services,COMP007,GlobalEdge Infra,12712210.0,12481735.94,0,Deepa Verma,2025-07-12
TND-1026,Public Works,IT Services,COMP013,Meridian Works,11362560.34,12481735.94,0,Ravi Nair,2025-07-12
TND-1027,Health & Sanitation,Consulting,COMP015,OmniGroup Services,31483020.61,31799138.61,0,Arun Sharma,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP014,NovaTech Engineering,30550462.92,31799138.61,0,Neha Gupta,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP007,GlobalEdge Infra,26300651.96,31799138.61,0,Deepa Verma,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP010,JetStream Solutions,33407880.84,31799138.61,0,Rajesh Kumar,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP003,CrestLine Solutions,28499469.81,31799138.61,0,Neha Gupta,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP004,Delta Engineering Co,27218649.28,31799138.61,0,Anand Mehta,2025-11-13
TND-1027,Health & Sanitation,Consulting,COMP011,KingsBridge Corp,25828295.2,31799138.61,1,Suman Reddy,2025-11-13
TND-1028,Education,IT Services,COMP014,NovaTech Engineering,29846460.01,29749200.69,0,Pooja Bhat,2024-04-20
TND-1028,Education,IT Services,COMP008,HighPoint Services,23947402.95,29749200.69,1,Lakshmi Rao,2024-04-20
TND-1028,Education,IT Services,COMP004,Delta Engineering Co,28369668.3,29749200.69,0,Anand Mehta,2024-04-20
TND-1029,Education,Consulting,COMP007,GlobalEdge Infra,11636022.95,11711540.87,0,Mohan Das,2024-08-16
TND-1029,Education,Consulting,COMP006,FusionTech Systems,9981862.56,11711540.87,1,Ravi Nair,2024-08-16
TND-1029,Education,Consulting,COMP005,Evergreen Constructions,11796816.36,11711540.87,0,Kavita Joshi,2024-08-16
TND-1029,Education,Consulting,COMP002,BlueHorizon Services,10728012.74,11711540.87,0,Suman Reddy,2024-08-16
TND-1030,Public Works,Medical Equipment,COMP001,Apex Infrastructure Ltd,39428112.58,46868134.44,0,Priya Shah,2024-09-24
TND-1030,Public Works,Medical Equipment,COMP002,BlueHorizon Services,42290050.63,46868134.44,0,Suman Reddy,2024-09-24
TND-1030,Public Works,Medical Equipment,COMP010,JetStream Solutions,39089995.23,46868134.44,1,Rajesh Kumar,2024-09-24
TND-1030,Public Works,Medical Equipment,COMP007,GlobalEdge Infra,50496107.0,46868134.44,0,Mohan Das,2024-09-24
TND-1030,Public Works,Medical Equipment,COMP006,FusionTech Systems,49830285.18,46868134.44,0,Anand Mehta,2024-09-24
TND-1031,Education,Construction,COMP011,KingsBridge Corp,13241510.85,13268110.57,0,Deepa Verma,2025-03-22
TND-1031,Education,Construction,COMP012,Lumencraft Industries,13867386.81,13268110.57,0,Lakshmi Rao,2025-03-22
TND-1031,Education,Construction,COMP014,NovaTech Engineering,12824428.18,13268110.57,0,Neha Gupta,2025-03-22
TND-1031,Education,Construction,COMP013,Meridian Works,12722727.19,13268110.57,0,Ravi Nair,2025-03-22
TND-1031,Education,Construction,COMP015,OmniGroup Services,11577165.34,13268110.57,0,Arun Sharma,2025-03-22
TND-1031,Education,Construction,COMP004,Delta Engineering Co,10985077.8,13268110.57,1,Anand Mehta,2025-03-22
TND-1031,Education,Construction,COMP006,FusionTech Systems,14185795.82,13268110.57,0,Ravi Nair,2025-03-22
TND-1032,Defense,Software,COMP009,InfraPrime Ltd,44616851.65,45070693.83,0,Pooja Bhat,2024-11-30
TND-1032,Defense,Software,COMP003,CrestLine Solutions,40640647.44,45070693.83,1,Priya Shah,2024-11-30
TND-1032,Defense,Software,COMP004,Delta Engineering Co,40778290.41,45070693.83,0,Anand Mehta,2024-11-30
TND-1032,Defense,Software,COMP007,GlobalEdge Infra,45872352.9,45070693.83,0,Mohan Das,2024-11-30
TND-1032,Defense,Software,COMP011,KingsBridge Corp,48186569.62,45070693.83,0,Suman Reddy,2024-11-30
TND-1033,Education,Supplies,COMP010,JetStream Solutions,45919086.32,44410778.0,0,Vikram Singh,2024-08-03
TND-1033,Education,Supplies,COMP011,KingsBridge Corp,44082559.87,44410778.0,0,Suman Reddy,2024-08-03
TND-1033,Education,Supplies,COMP006,FusionTech Systems,36649638.79,44410778.0,0,Anand Mehta,2024-08-03
TND-1033,Education,Supplies,COMP008,HighPoint Services,37682039.48,44410778.0,0,Lakshmi Rao,2024-08-03
TND-1033,Education,Supplies,COMP012,Lumencraft Industries,47500269.58,44410778.0,0,Amit Patel,2024-08-03
TND-1033,Education,Supplies,COMP014,NovaTech Engineering,43608218.3,44410778.0,0,Pooja Bhat,2024-08-03
TND-1033,Education,Supplies,COMP004,Delta Engineering Co,35651156.87,44410778.0,1,Vikram Singh,2024-08-03
TND-1034,Defense,Supplies,COMP001,Apex Infrastructure Ltd,4399918.11,5522841.37,1,Priya Shah,2024-08-18
TND-1034,Defense,Supplies,COMP015,OmniGroup Services,4535998.05,5522841.37,0,Rajesh Kumar,2024-08-18
TND-1034,Defense,Supplies,COMP004,Delta Engineering Co,4759640.44,5522841.37,0,Vikram Singh,2024-08-18
TND-1034,Defense,Supplies,COMP008,HighPoint Services,5316678.04,5522841.37,0,Lakshmi Rao,2024-08-18
TND-1035,Transport,Software,COMP001,Apex Infrastructure Ltd,34595513.66,34748812.29,0,Rajesh Kumar,2024-09-06
